id,steps,n_particles,field_x,field_y,n_bots,p_resource,trail_decay,resource_dist_mean,resource_dist_std,p_leave,p_follow,best_cost,iters
0,2000,8,100,100,10,0.01,80,10,3,0.8815,0.4267,199,10
1,2000,8,100,100,10,0.02,80,10,3,0.6936,0.7747,279,10
2,2000,8,100,100,10,0.03,80,10,3,0.7166,0.5188,333,10
3,2000,8,100,100,10,0.04,80,10,3,0.8726,0.6714,349,10
3,2000,8,100,100,10,0.05,80,10,3,0.8716,0.5233,377,10
3,2000,8,100,100,10,0.06,80,10,3,0.9687,0.5926,396,10
3,2000,8,100,100,10,0.07,80,10,3,0.7625,0.4267,406,10
3,2000,8,100,100,10,0.08,80,10,3,0.9688,0.6415,443,10
3,2000,8,100,100,10,0.09,80,10,3,0.7737,0.5602,447,10
3,4000,8,100,100,10,0.1,80,10,3,0.4704,0.8087,444,10
0,4000,8,100,100,10,0.01,80,10,3,0.9276,0.4073,319,10
1,4000,8,100,100,10,0.02,80,10,3,0.7081,0.6854,442,10
2,4000,8,100,100,10,0.03,80,10,3,0.6208,0.6520,522,10
3,4000,8,100,100,10,0.04,80,10,3,0.6001,0.7817,606,10
3,4000,8,100,100,10,0.05,80,10,3,0.9294,0.8246,653,10
3,4000,8,100,100,10,0.06,80,10,3,0.8871,0.6187,717,10
3,4000,8,100,100,10,0.07,80,10,3,0.7393,0.6671,723,10
3,4000,8,100,100,10,0.08,80,10,3,0.7394,0.6997,742,10
3,4000,8,100,100,10,0.09,80,10,3,0.6268,0.7886,772,10
3,4000,8,100,100,10,0.1,80,10,3,0.608,0.5516,786,10
3,4000,8,100,100,10,0.2,80,10,3,0.608,0.5516,786,10
3,4000,8,100,100,10,0.3,80,10,3,0.8814,0.818,1064,10
3,4000,8,100,100,10,0.4,80,10,3,0.6455,0.6033,1059,10
3,4000,8,100,100,10,0.001,80,10,3,0.6920,0.6104,86,10
3,4000,8,100,100,10,0.001,80,10,3,0.7828,0.6622,75,10
3,4000,8,100,100,10,0.003,80,10,3,0.6992,0.7754,154,10
3,4000,8,100,100,10,0.005,80,10,3,,,,10
